team,deficits,wins,draws,losses,points,points_per_deficit,season,games
FC Augsburg,10,1,3,6,6,0.6,2021,Home Games
Hertha BSC,10,2,0,8,6,0.6,2021,Home Games
1.FSV Mainz 05,5,1,2,2,5,1,2021,Home Games
Borussia Mönchengladbach,8,1,2,5,5,0.63,2021,Home Games
Arminia Bielefeld,10,0,5,5,5,0.5,2021,Home Games
RB Leipzig,6,1,1,4,4,0.67,2021,Home Games
1.FC Union Berlin,4,1,1,2,4,1,2021,Home Games
SC Freiburg,8,0,4,4,4,0.5,2021,Home Games
Borussia Dortmund,5,1,0,4,3,0.6,2021,Home Games
VfL Wolfsburg,9,0,2,7,2,0.22,2021,Home Games
SpVgg Greuther Fürth,11,0,2,9,2,0.18,2021,Home Games
Bayer 04 Leverkusen,6,0,1,5,1,0.17,2021,Home Games
Borussia Dortmund,9,3,1,5,10,1.11,2021,Away Games
Bayer 04 Leverkusen,8,2,3,3,9,1.13,2021,Away Games
1.FC Union Berlin,12,2,3,7,9,0.75,2021,Away Games
TSG 1899 Hoffenheim,13,2,2,9,8,0.62,2021,Away Games
Eintracht Frankfurt,9,2,1,6,7,0.78,2021,Away Games
Bayern Munich,6,1,2,3,5,0.83,2021,Away Games
RB Leipzig,9,1,2,6,5,0.56,2021,Away Games
1.FC Köln,9,1,2,6,5,0.56,2021,Away Games
Borussia Mönchengladbach,11,1,2,8,5,0.45,2021,Away Games
VfL Bochum,14,1,2,11,5,0.36,2021,Away Games
VfL Wolfsburg,11,1,1,9,4,0.36,2021,Away Games
SC Freiburg,6,1,0,5,3,0.5,2021,Away Games
VfB Stuttgart,11,0,3,8,3,0.27,2021,Away Games
Arminia Bielefeld,13,0,2,11,2,0.15,2021,Away Games
1.FSV Mainz 05,13,0,1,12,1,0.08,2021,Away Games
FC Augsburg,11,0,1,10,1,0.09,2021,Away Games
Hertha BSC,12,0,1,11,1,0.08,2021,Away Games
SpVgg Greuther Fürth,14,0,1,13,1,0.07,2021,Away Games
1.FC Köln,18,3,4,11,13,0.72,2022,All Games
